Position,Year,Make,Model,Time (min:sec),time (s),horsepower (hp),torque (lb-ft),kerb weight (lb),wheel base (in),width (in),height (in),RWD,AWD,FWD,0-60 (s),top speed (mph),manual,automatic,Comments,Sources
26,2011,Porsche,911 GT3 RS 4.0,07:27.0,447,486,339,3157,93,72.91,50.4,1,0,0,3.6,196,1,0,,https://fastestlaps.com/models/porsche-911-gt3-rs-4-0
27,2016,BMW,M4 GTS,07:27.9,447.9,486,443,3530,110.7,73.6,54.4,1,0,0,3.5,190,1,0,,https://www.caranddriver.com/reviews/a15102466/2016-bmw-m4-gts-drive-review/
28,2009,Ferrari,458 Italia,07:38.0,458,554.3,398,3450,104,76,48,1,0,0,3,205,0,1,,https://fastestlaps.com/models/ferrari-458-italia
29,2010,McLaren,MP4-12C,07:28.0,448,582.9,443,3269,105,75,47,1,0,0,2.9,207,0,1,,https://fastestlaps.com/models/mclaren-mp4-12c
30,2003,Porsche,Carrera GT,07:28.7,448.7,595.7,435,3256,107,76,46,1,0,0,3.5,205,1,0,,https://fastestlaps.com/models/porsche-carrera-gt
31,2017,Chevy,Camaro ZL1,07:29.6,449.6,641.1,881,3931,111,75,53,1,0,0,3.4,206,1,0,,https://fastestlaps.com/models/chevrolet-camaro-zl1-mk-vi
32,2012,Mercedes,SLS AMG GT,07:30.0,450,575,479,3759,106,76,50,1,0,0,3.8,196,0,1,,https://fastestlaps.com/models/mercedes-benz-sls-amg-gt
33,2007,Porsche,911 GT2,07:31.0,451,529.9,501.54,3120,92.1,72.9,50.59,1,0,0,3.7,204,1,0,,https://www.auto-data.net/en/porsche-911-997-gt2-3.6-530hp-6584
34,2016,Alfa Romeo,Giulia Quadrifoglio,07:32.0,452,510,442.54,3362,111,73.7,56.1,1,0,0,3.9,191,1,0,,https://www.auto-data.net/en/alfa-romeo-giulia-952-quadrifoglio-2.9-v6-510hp-23700
35,2010,Porsche,911 Turbo S,07:32.0,452,530,700,1585,92.52,72.91,51.18,0,1,0,3.1,195.73,0,1,,https://www.auto-data.net/en/porsche-911-997-facelift-2008-turbo-s-3.8-530hp-pdk-36763
